1,1,,,1,C1^1,p 1,p 1,p 1
2,1,,,2,Ci^1,-p 1,p -1,p -1
3,1,c,,3,C2^1,p 2,p 1 1 2,p 1 1 2
4,1,c,,4,Cs^1,p -2,p 1 1 m,p 1 1 m
5,1,c1,,5,Cs^2,p -2a,p 1 1 a,p 1 1 a
6,2,c2,,5,Cs^2,p -2ab,p 1 1 n,p 1 1 n
7,3,c3,,5,Cs^2,p -2b,p 1 1 b,p 1 1 b
8,1,c,,6,C2h^1,-p 2,p 1 1 2/m,p 1 1 2/m
9,1,c1,,7,C2h^2,-p 2a,p 1 1 2/a,p 1 1 2/a
10,2,c2,,7,C2h^2,-p 2ab,p 1 1 2/n,p 1 1 2/n
11,3,c3,,7,C2h^2,-p 2b,p 1 1 2/b,p 1 1 2/b
12,1,a,,8,C2^2,p 2x,p 2 1 1,p 2 1 1
13,2,b,,8,C2^2,p 2y,p 1 2 1,p 1 2 1
14,1,a,,9,C2^3,p 2xa,p 2_1 1 1,p 2_1 1 1
15,2,b,,9,C2^3,p 2yb,p 1 2_1 1,p 1 2_1 1
16,1,a,,10,C2^4,c 2x,c 2 1 1,c 2 1 1
17,2,b,,10,C2^4,c 2y,c 1 2 1,c 1 2 1
18,1,a,,11,Cs^3,p -2x,p m 1 1,p m 1 1
19,2,b,,11,Cs^3,p -2y,p 1 m 1,p 1 m 1
20,1,a,,12,Cs^4,p -2xb,p b 1 1,p b 1 1
21,2,b,,12,Cs^4,p -2ya,p 1 a 1,p 1 a 1
22,1,a,,13,Cs^5,c -2x,c m 1 1,c m 1 1
23,2,b,,13,Cs^5,c -2y,c 1 m 1,c 1 m 1
24,1,a,,14,C2h^3,-p 2x,p 2/m 1 1,p 2/m 1 1
25,2,b,,14,C2h^3,-p 2y,p 1 2/m 1,p 1 2/m 1
26,1,a,,15,C2h^4,-p 2xa,p 2_1/m 1 1,p 2_1/m 1 1
27,2,b,,15,C2h^4,-p 2yb,p 1 2_1/m 1,p 1 2_1/m 1
28,1,a,,16,C2h^5,-p 2xb,p 2/b 1 1,p 2/b 1 1
29,2,b,,16,C2h^5,-p 2ya,p 1 2/a 1,p 1 2/a 1
30,1,a,,17,C2h^6,-p 2xab,p 2_1/b 1 1,p 2_1/b 1 1
31,2,b,,17,C2h^6,-p 2yab,p 1 2_1/a 1,p 1 2_1/a 1
32,1,a,,18,C2h^7,-c 2x,c 2/m 1 1,c 2/m 1 1
33,2,b,,18,C2h^7,-c 2y,c 1 2/m 1,c 1 2/m 1
34,1,,,19,D2^1,p 2 2,p 2 2 2,p 2 2 2
35,1,,,20,D2^2,p 2 2a,p 2_1 2 2,p 2_1 2 2
36,2,b-ac,,20,D2^2,p 2 2b,p 2 2_1 2,p 2 2_1 2
37,1,,,21,D2^3,p 2 2ab,p 2_1 2_1 2,p 2_1 2_1 2
38,1,,,22,D2^4,c 2 2,c 2 2 2,c 2 2 2
39,1,,,23,C2v^1,p 2 -2,p m m 2,p m m 2
40,1,,,24,C2v^2,p 2 -2a,p m a 2,p m a 2
41,2,b-ac,,24,C2v^2,p 2 -2b,p b m 2,p b m 2
42,1,,,25,C2v^3,p 2 -2ab,p b a 2,p b a 2
43,1,,,26,C2v^4,c 2 -2,c m m 2,c m m 2
44,1,,,27,C2v^5,p -2 -2,p m 2 m,p m 2 m
45,2,b-ac,,27,C2v^5,p -2 2,p 2 m m,p 2 m m
46,1,,,28,C2v^6,p -2b -2,p m 2_1 b,p m 2_1 b
47,2,b-ac,,28,C2v^6,p -2a 2a,p 2_1 m a,p 2_1 m a
48,1,,,29,C2v^7,p -2 -2b,p b 2_1 m,p b 2_1 m
49,2,b-ac,,29,C2v^7,p -2 2a,p 2_1 a m,p 2_1 a m
50,1,,,30,C2v^8,p -2b -2b,p b 2 b,p b 2 b
51,2,b-ac,,30,C2v^8,p -2a 2,p 2 a a,p 2 a a
52,1,,,31,C2v^9,p -2a -2a,p m 2 a,p m 2 a
53,2,b-ac,,31,C2v^9,p -2b 2,p 2 m b,p 2 m b
54,1,,,32,C2v^10,p -2ab -2,p m 2_1 n,p m 2_1 n
55,2,b-ac,,32,C2v^10,p -2ab 2ab,p 2_1 m n,p 2_1 m n
56,1,,,33,C2v^11,p -2a -2ab,p b 2_1 a,p b 2_1 a
57,2,b-ac,,33,C2v^11,p -2b 2a,p 2_1 a b,p 2_1 a b
58,1,,,34,C2v^12,p -2ab -2ab,p b 2 n,p b 2 n
59,2,b-ac,,34,C2v^12,p -2ab 2,p 2 a n,p 2 a n
60,1,,,35,C2v^13,c -2 -2,c m 2 m,c m 2 m
61,2,b-ac,,35,C2v^13,c -2 2,c 2 m m,c 2 m m
62,1,,,36,C2v^14,c -2a -2a,c m 2 e,c m 2 e
63,2,b-ac,,36,C2v^14,c -2a 2,c 2 m e,c 2 m e
64,1,,,37,D2h^1,-p 2 2,p m m m,p 2/m 2/m 2/m
65,1,,,38,D2h^2,-p 2a 2,p m a a,p 2/m 2/a 2/a
66,2,b-ac,,38,D2h^2,-p 2b 2b,p b m b,p 2/b 2/m 2/b
67,1,,,39,D2h^3,-p 2ab 2b,p b a n,p 2/b 2/a 2/n
68,1,,,40,D2h^4,-p 2 2a,p m a m,p 2_1/m 2/a 2/m
69,2,b-ac,,40,D2h^4,-p 2 2b,p b m m,p 2/b 2_1/m 2/m
70,1,,,41,D2h^5,-p 2a 2a,p m m a,p 2_1/m 2/m 2/a
71,2,b-ac,,41,D2h^5,-p 2b 2,p m m b,p 2/m 2_1/m 2/b
72,1,,,42,D2h^6,-p 2ab 2,p m a n,p 2/m 2_1/a 2/n
73,2,b-ac,,42,D2h^6,-p 2ab 2ab,p b m n,p 2_1/b 2/m 2/n
74,1,,,43,D2h^7,-p 2a 2b,p b a a,p 2/b 2_1/a 2/a
75,2,b-ac,,43,D2h^7,-p 2b 2ab,p b a b,p 2_1/b 2/a 2/b
76,1,,,44,D2h^8,-p 2 2ab,p b a m,p 2_1/b 2_1/a 2/m
77,1,,,45,D2h^9,-p 2a 2ab,p b m a,p 2_1/b 2_1/m 2/a
78,2,b-ac,,45,D2h^9,-p 2b 2a,p m a b,p 2_1/m 2_1/a 2/b
79,1,,,46,D2h^10,-p 2ab 2a,p m m n,p 2_1/m 2_1/m 2/n
80,1,,,47,D2h^11,-c 2 2,c m m m,c 2/m 2/m 2/m
81,1,,,48,D2h^12,-c 2a 2,c m m e,c 2/m 2/m 2/e
82,1,,,49,C4^1,p 4,p 4,p 4
83,1,,,50,S4^1,p -4,p -4,p -4
84,1,,,51,C4h^1,-p 4,p 4/m,p 4/m
85,1,1,,52,C4h^2,p 4 -1ab,p 4/n,p 4/n
86,2,2,,52,C4h^2,-p 4a,p 4/n,p 4/n
87,1,,,53,D4^1,p 4 2,p 4 2 2,p 4 2 2
88,1,,,54,D4^2,p 4 2ab,p 4 2_1 2,p 4 2_1 2
89,1,,,55,C4v^1,p 4 -2,p 4 m m,p 4 m m
90,1,,,56,C4v^2,p 4 -2ab,p 4 b m,p 4 b m
91,1,,,57,D2d^1,p -4 2,p -4 2 m,p -4 2 m
92,1,,,58,D2d^2,p -4 2ab,p -4 2_1 m,p -4 2_1 m
93,1,,,59,D2d^3,p -4 -2,p -4 m 2,p -4 m 2
94,1,,,60,D2d^4,p -4 -2ab,p -4 b 2,p -4 b 2
95,1,,,61,D4h^1,-p 4 2,p 4/m m m,p 4/m 2/m 2/m
96,1,1,,62,D4h^2,p 4 2 -1ab,p 4/n b m,p 4/n 2/b 2/m
97,2,2,,62,D4h^2,-p 4a 2b,p 4/n b m,p 4/n 2/b 2/m
98,1,,,63,D4h^3,-p 4 2ab,p 4/m b m,p 4/m 2_1/b m
99,1,1,,64,D4h^4,p 4 2ab -1ab,p 4/n m m,p 4/n 2_1/m m
100,2,2,,64,D4h^4,-p 4a 2a,p 4/n m m,p 4/n 2_1/m m
101,1,,,65,C3^1,p 3,p 3,p 3
102,1,,,66,C3i^1,-p 3,p -3,p -3
103,1,,,67,D3^1,p 3 2,p 3 1 2,p 3 1 2
104,1,,,68,D3^2,p 3 2=,p 3 2 1,p 3 2 1
105,1,,,69,C3v^1,p 3 -2=,p 3 m 1,p 3 m 1
106,1,,,70,C3v^2,p 3 -2,p 3 1 m,p 3 1 m
107,1,,,71,D3d^1,-p 3 2,p -3 1 m,p -3 1 2/m
108,1,,,72,D3d^2,-p 3 2=,p -3 m 1,p -3 2/m 1
109,1,,,73,C6^1,p 6,p 6,p 6
110,1,,,74,C3h^1,p -6,p -6,p -6
111,1,,,75,C6h^1,-p 6,p 6/m,p 6/m
112,1,,,76,D6^1,p 6 2,p 6 2 2,p 6 2 2
113,1,,,77,C6v^1,p 6 -2,p 6 m m,p 6 m m
114,1,,,78,D3h^1,p -6 2,p -6 m 2,p -6 m 2
115,1,,,79,D3h^2,p -6 -2,p -6 2 m,p -6 2 m
116,1,,,80,D6h^1,-p 6 2,p 6/m m m,p 6/m m m
